tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,jpg_url,img_num,dog_breed,dog,prob_final
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",13.0,10,Tilly,,5304,29360,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,True,0.323581
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,12.0,10,Archie,,3488,22084,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,True,0.716012
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  BarkWeek ",12.0,10,Franklin,,7775,35360,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,True,0.555712
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) BarkWeek ,13.0,10,None,,2603,17835,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_bay_retriever,True,0.425595
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

 ",13.0,10,Jax,,1672,10381,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,True,0.34170300000000003
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,13.0,10,None,,15783,56909,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,True,0.566142
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  BarkWeek ,13.0,10,Zoey,,3628,24556,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,True,0.487574
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,14.0,10,Cassie,doggo,6108,27991,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,True,0.511319
890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting BarkWeek ,13.0,10,Koda,,6157,27072,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,True,0.957979
889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you.  terrifyingly good boy ,13.0,10,Bruno,,4175,24601,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,True,0.377417
889665388333682689,2017-07-25 01:55:32+00:00,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.  ,13.0,10,None,puppo,8359,42094,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,True,0.966327
889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist ,12.0,10,Ted,,3720,23713,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,True,0.99165
889531135344209921,2017-07-24 17:02:04+00:00,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo BarkWeek ,13.0,10,Stuart,puppo,1885,13361,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,Golden_retriever,True,0.953442
889278841981685760,2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim.  fr*ckin frightening BarkWeek ,13.0,10,Oliver,,4449,22152,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,True,0.626152
888917238123831296,2017-07-23 00:22:39+00:00,This is Jim. He found a fren. Taught him how to sit like the good boys.  for both ,12.0,10,Jim,,3769,25667,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden_retriever,True,0.714719
888804989199671297,2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it.  would do my best ,13.0,10,Zeke,,3544,22493,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,Golden_retriever,True,0.46976
888554962724278272,2017-07-22 00:23:06+00:00,This is Ralphus. He's powering up. Attempting maximum borkdrive.  inspirational af ,13.0,10,Ralphus,,2882,17344,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,True,0.700377
888078434458587136,2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice.  didn't want the job anyway ,12.0,10,Gerald,,2901,19171,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,True,0.995026
887705289381826560,2017-07-19 16:06:48+00:00,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale.  h*ckin strategic ,13.0,10,Jeffrey,,4542,26663,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,True,0.821664
